url,label
https://www.google.com,0
https://www.microsoft.com,0
https://www.apple.com,0
https://www.amazon.com,0
https://www.github.com,0
https://www.wikipedia.org,0
https://www.python.org,0
https://www.linkedin.com,0
https://www.youtube.com,0
https://www.facebook.com,0
https://www.instagram.com,0
https://www.microsoft.com/en-us/security,0
https://www.amazon.com/account,0
https://github.com/login,0
https://www.google.com/search?q=security,0
http://192.168.1.20/login,1
http://192.168.0.15/verify,1
http://secure-login-account.com/verify,1
http://account-verification-security.com/login,1
http://bank-login-verify.com/account,1
http://free-gift-card.com/claim,1
http://urgent-account-update.com/login,1
http://verify-password-security.com/confirm,1
http://paypal-security-login.com/verify,1
http://amazon-account-confirm.com/login,1
http://microsoft-account-verify.com/password,1
http://secure-bank-login.com/urgent,1
http://account-suspended-verify.com/login,1
http://login-confirm-account.com/verify,1
http://free-prize-claim-now.com/winner,1
http://secure-update-password.com/login,1
http://banking-verification-required.com/confirm,1
http://account-login-security-check.com/verify,1
http://urgent-payment-verification.com/bank,1
http://signin-account-confirm.com/password,1
http://verify-your-account-now.com/login,1
